Author_ID,Author_Name,Author_Affiliation,Author_Citations,Author_Documents_number,H-index,FWCI,Co_Authors_IDs,Co_authors_Names
57222163613,"Tabbaa, Hiba",Morocco,62,4,2,10.55,"['57194380165', '57222163613', '15753326700', '57205406993', '56784321200']","['Lamghari, Nidal', 'Tabbaa, Hiba', 'Imad, Hafidi', 'Ifzarne, Samir', 'Hadri, Aissam']"
57205406993,"Ifzarne, Samir",Morocco,88,8,4,4.83,"['57194380165', '57222163613', '15753326700', '57205406993']","['Lamghari, Nidal', 'Tabbaa, Hiba', 'Imad, Hafidi', 'Ifzarne, Samir']"
51864221500,"Nachaoui, Mourad",Morocco,365,60,12,1.27,"['25926531300', '7801316658', '57202849162', '56593286300', '25638213100', '22996312300', '34978302800', '6701779277', '56252362600', '57406802600', '57215033217', '56784321200', '9332679500', '57204705751', '23994110200', '58183945100', '16314947200', '57394143100', '57223204554', '57148328800', '6602560694', '57220037635', '58314468800', '56485972100', '15753326700', '57537317500', '6701831303', '51864221500', '6508071607', '55786382100', '57205098362', '57203979023', '57202705203', '57205229957', '57194419925', '6602953478', '6507384124', '56168902600', '36959540500', '55923392700', '57220160318', '7801323926', '57217332455', '57345404600', '58913538900']","['Yamina Mir', 'Abdellatif Ellabib', 'Khalfi, Hamza', 'El Malki, Imane', 'Rachid Abdia', 'Mimoun Zazoui', 'Fatima Aboud', 'Mohamed Fakir', 'Abdelali Elmoufidi', 'Chorouk Masnaoui', 'Soufiane Lyaqini', 'Hadri, Aissam', 'Abdessamad Malaoui', 'M. A. Kinani', 'Rostam K. Saeed', 'Lakouam, Issam', 'Afraites, Lekbir', 'Abdelmajid El Hakoume', 'Karzan A. Berdawood', 'Ayoub Ellahyani', 'Mohamed Quafafou', 'Ayoub Skouta', 'Zakaria Khoudi', 'Laghrib, Amine', 'Imad, Hafidi', 'Hakim, Moad', 'A. Nachaoui', 'Nachaoui, Mourad', 'Amal Bergam', 'Abdelaziz Amine', 'Hamid Ouaissa', 'Fatim Zahra Ait Bella', 'Driss Ait Omar', 'Mohamed Baslam', 'Chahid El Hadi', 'François Jauberteau', 'Reihan Yu Shikhlinskaya', 'Ghazdali, Abdelghani', 'Phridon Dvalishvili', 'Abdelkrim Chakib', 'A. ElRharib', 'Abdelaziz Azziz Koumina', 'Mohammed A. Hilal', 'Abdessamad Oulmelk', 'Amin Boukdir']"
57193550788,"Aboutabit, Noureddine",Morocco,21,9,3,0.46,"['57193550788', '24922487300', '57197770979']","['Aboutabit, Noureddine', 'Bahaj, Mohamed', 'Boumlik, Abdeljalil']"
26533227600,"Ouartassi, Bajil",Morocco,118,7,3,0.36,"['56636575600', '23060378200', '57202616902', '57202156076', '6507874685', '56042188500', '35110071000', '57194775155', '57209053772', '56167362700', '15753326700', '55953078600', '57105928700', '26533227600', '56065372400', '7003664865']","['A. El Abidi', 'Anthony Dufour', 'Bernard Doyon', 'Rochd, Yassir', 'François Broust', 'Anélie Pétrissans', 'Said Yadir', 'Wail El Bazi', 'Mourad Héniche', 'Mustapha Bideq', 'Imad, Hafidi', 'Mathieu Pétrissans', 'Vanessa Fierro', 'Ouartassi, Bajil', 'Roda Bounaceur', 'Alain Celzard']"
57364637200,"Mellouli, Oumaima",Morocco,0,2,0,0.0,"['15753326700', '57364637200']","['Imad, Hafidi', 'Mellouli, Oumaima']"
57866343500,"Karim, Marouane",Morocco,10,10,2,0.58,"['6508051762', '57746732300', '6504491745', '57216039139', '58109613400', '58486733300', '57215656551', '57609507000', '15753326700', '58821008600', '59239130000', '57866343500', '6603535132', '57212879889', '57212878707', '57215495452', '57373934100', '56708052700']","['Thabet Abdeljawad (Maraaba) T.', 'Issam Khaloufi', 'Azouani, Abderrahim', 'Soukaina Ben Rhila', 'Azoua, Mohammed', 'Ali Akgül', 'Soukaina Ben Rhila', 'Amine Ghazaoui', 'Imad, Hafidi', 'Murad Khan Hassani', 'Imane Dehaj', 'Karim, Marouane', 'Mostafa Rachik', 'Hanane Ferjouchia', 'Abdelfatah Kouidere', 'Hamza Boutayeb', 'Marouane Lafif', 'Kamal Shah']"
57210186235,"Nasri, Mehdi",Morocco,34,6,3,1.15,"['57345703800', '9432787600', '56349129200', '15753326700', '57210186235']","['Labdiad, Fatah', 'Metrane, Abdelmoutalib', 'Jamali, Anouar', 'Imad, Hafidi', 'Nasri, Mehdi']"
57222166319,"Taoussi, Chaimae",Morocco,2,3,1,0.38,"['15753326700', '57194031595', '57222166319']","['Imad, Hafidi', 'Abdellatif, Lasbahani', 'Taoussi, Chaimae']"
57200595982,"Lazaar, Mohamed",Morocco,859,79,14,2.03,"['55647325800', '24824539600', '16067923100', '55611903700', '55295800200', '58725754700', '13002734100', '7801344901', '55701011000', '26667653800', '6505610961', '57195947347', '26641230400', '36166348100', '46161850100', '33067648500', '56094753400', '57191035318', '57195495290', '57184040300', '58725559100', '57821709500', '58851906100', '57208079815', '58316782700', '15753326700', '36343717100', '56426325300', '8836165800', '58897140800', '57191419589', '58516539900', '55838176800', '58516958100', '57207622928', '58759367900', '57222477525', '57208552753', '7004118758', '23969225400', '57222080243', '57188879416', '57209346008', '57211342297', '56580181200', '57821709600', '57218185353', '6603926985', '46161082200', '55375629800', '6506589568', '55348250100', '57872134400', '13907793900', '57200595982', '55026186000', '57190495169', '57195491588', '25224802300', '57195492778', '42661366300', '57191595737', '56705531200', '57871998800']","['K. Haddouch', 'Nourddine Enneya', 'Aboutabit, Noureddine', 'Youssef Saadi', 'Mohammed Bennani-Othmani', 'Ayyoub Elhariri', 'Mohammed Al Achhab', 'Badreddine Eddine El Mohajir', 'Jaouad El-Mekkaoui', 'Osama S. Faragallah', 'Abdellah El fallahi', 'Halim Berradi', 'Youssef Ghanou', 'Feda AlShahwan', 'Abdelhamid Zouhair', 'Farid Bourzgui', 'Outman El Hichami', 'Asmaa Sabiri', 'Yassine Al-Amrani', 'Mohamed Naoum', 'Mohammed Mouiti', 'Redwane Nesmaoui', 'El Madani El Alami Yasser', 'Soufiane El Mrabti', 'Hmaidi Safae', 'Imad, Hafidi', 'Hachmoud Adil', 'Mostafa El Mallahi', 'Hala S. El-Sayed', 'Karim El Moutaouakil', 'El-Ansari, Anas', 'Ikram Karabila', 'Z. En-Naimani', 'Nossayba Darraz', 'Zahra Berradi', 'Said Ouhmi', 'Ilyes Boumahdi', 'Najoua Hrich', 'Mohamed Khaldi', 'Oussama Mahboub', 'Youness Tabii', 'Mbarek Marwan', 'Afoudi Yassine', 'El Miloud Zaoui', 'Rachid Kaidi', 'Mouad Louhichi', 'Abdelkarim Ait Temghart', 'Abdellatif Hair', 'El Mokhtar En-Naimi', 'Mohammed Erritali', 'Raddouane Chiheb', 'Fatima Ouzayd', 'Omar Habibi', 'N. Idrissi', 'Lazaar, Mohamed', 'Mohammed A. Baz', 'Nabil Alami', 'Hicham Omara', 'Mohamed Ettaouil', 'Fadoua Oudouar', 'Kamal Eddine El-Kadiri', 'Khalid A. AlAfandy', 'Yasser Madani El Alami', 'Mohammed Chemmakha']"
